page_name,page_id,post_last,post_period
할리스커피(Hollys Coffee),282250625124706,2017-11-07,0.8333333333333334
포키&프리츠,1375661142760798,2017-11-07,3.7083333333333335
공차 코리아 (Gong Cha Korea),160950467329459,2017-11-07,1.2083333333333333
Primera Plus,318059528713,2017-11-07,0.041666666666666664
배달통,155897261163579,2017-11-03,4.083333333333333
잡플래닛 - Jobplanet,1478937582325732,2017-11-06,1.625
Smirnoff,117983638238613,2017-10-27,5.25
오리온 ORION,657911127606859,2017-11-06,2.0
Chevrolet 쉐보레,127820253944846,2017-11-07,3.6666666666666665
리복 클래식 - Reebok Classic Forever,259801744125928,2017-11-03,2.0416666666666665
Visa,409985435738763,2017-11-01,6.666666666666667
ALLSAINTS,407009379377428,2017-11-07,0.9583333333333334
숨37º,152496408155595,2017-10-20,8.875
Fitz Super Clear - 피츠 수퍼클리어,1435986216466065,2017-11-06,1.75
hello mobile,144575548985114,2017-11-06,1.0
핫식스&Passion,318998501489937,2017-11-07,1.5416666666666667
아디다스 풋볼,740884092628657,2017-11-07,0.875
NVIDIA GeForce Korea,212120362131690,2017-11-07,0.75
Maserati Korea - 마세라티 코리아,586175268109714,2017-11-05,2.5833333333333335
SWAROVSKI,241537202624185,2017-11-02,2.875
Korea Electric Power Corporation,329676907080225,2017-11-07,0.875
P&G Careers,111081775617042,2017-10-30,2.7916666666666665
Heineken,1501771693480159,2017-11-02,6.125
SPAO,109471065788780,2017-11-06,1.8333333333333333
Nike+ Run Club,65604112975,2017-11-07,15.333333333333334
Sticky Monster Lab,192526384094459,2017-10-23,3.375
Nike Football,51212153078,2017-08-05,9.5
코웨이 스토리,337609789607046,2017-11-01,1.5
보떼(BEAUTÉ),386741901393702,2016-01-18,2.4583333333333335
Dr.Jart+,133157290050382,2017-10-20,4.083333333333333
인피니티 - INFINITI,324651804342409,2017-11-07,2.375
MAC Cosmetics,125124437685643,2017-11-02,3.1666666666666665
하나금융그룹 (Hana Financial Group),154731391238200,2017-11-07,1.0833333333333333
롯데렌터카,152396498159476,2017-11-07,0.9166666666666666
Sony Music Korea (소니뮤직 코리아),382570371837191,2017-11-07,0.20833333333333334
Benefit Cosmetics,179919475383634,2017-11-07,0.5833333333333334
코오롱스포츠 Kolon Sport,132678626771815,2017-11-06,1.4583333333333333
쌍용자동차,188825444498630,2017-11-07,1.7916666666666667
Minions,116750598347194,2017-11-06,3.0416666666666665
노스페이스 (The North Face),140996759295005,2017-11-04,1.9166666666666667
Soonsiki hair 순시키헤어,289986564377939,2017-11-07,0.4166666666666667
Premium Outlets – Korea (신세계사이먼 프리미엄 아울렛),222406647793562,2017-11-07,1.625
Fresh Korea,360288820745599,2017-11-07,1.7916666666666667
Dahong,697701830280679,2017-11-07,0.2916666666666667
Socialtoy Community,443506522343772,2017-05-16,28.958333333333332
아디다스 농구 (adiCourt),229408273811315,2017-11-06,1.6666666666666667
키즈현대,245748365632728,2017-11-06,0.875
한국타이어,121603294583775,2017-11-07,2.0833333333333335
"예뻐지는 습관, 임블리",415739921868469,2017-11-07,0.3333333333333333
케이투 아웃도어 (K2 OUTDOOR),171148562918607,2017-11-06,1.0416666666666667
Descente KR - 데상트,195324353943068,2017-11-06,1.0833333333333333
칸타타&Premium Life,209887412461193,2017-11-07,3.125
adidas Originals,9328458887,2017-11-02,1.25
로지텍 Logitech,609761952431853,2017-11-07,1.5
AIA생명 한국지점,257512477607607,2017-11-06,1.9583333333333333
MAXIM.KANU (맥심카누),250291495022892,2017-11-07,1.7916666666666667
Montblanc,926099784101749,2017-11-07,1.7916666666666667
DR.MARTENS_KR,156628387729157,2017-11-07,0.9166666666666666
ポカリスエット,222906224388095,2017-11-06,3.125
Calvin Klein,715320655183372,2017-11-07,0.875
3CE,267125713371507,2017-11-06,1.6666666666666667
Ford Korea,109226475841134,2017-11-07,1.6666666666666667
청하,286335221464401,2017-11-06,1.4583333333333333
KLM Royal Dutch Airlines,273795515772,2017-11-06,0.9583333333333334
아웃도어 네파(NEPA),123951427671134,2017-11-06,1.375
SK-II Korea,114094795348540,2017-11-03,7.375
CNP Cosmetics,328251857242771,2017-11-07,1.9166666666666667
카카오뱅크,1792899207659154,2017-11-07,3.375
Korea Samsonite,138688432858063,2017-11-07,0.625
OSULLOC 오설록,171718992863327,2017-11-07,1.0833333333333333
AK몰,152075234807165,2017-11-07,0.5833333333333334
Smoothie King Korea,106271312852636,2017-11-01,2.4583333333333335
Bobbi Brown Cosmetics,322887714482,2017-11-03,3.4166666666666665
에잇세컨즈 - 8seconds,163115830437991,2017-11-07,2.0416666666666665
"The Shilla Hotels & Resorts, Seoul-서울신라호텔",254751608009986,2017-11-07,1.125
투쿨포스쿨(too cool for school),133949520040289,2017-11-07,2.9583333333333335
Starbucks,22092443056,2017-11-02,5.875
Nike Sportswear,20825389113,2017-08-17,8.0
골프존(GOLFZON),227032377308856,2017-11-06,1.0
Vans,166170860228446,2017-11-07,0.9583333333333334
MANDARINA DUCK 만다리나덕,425874414112315,2017-11-07,1.125
"The Shilla Hotels & Resorts, Seoul-서울신라호텔",254751608009986,2017-11-07,1.125
American Express,388177644642415,2017-11-03,2.6666666666666665
맥스웰하우스,1544029059153955,2017-11-06,2.75
커스텀멜로우-customellow,129424253765855,2017-11-02,3.0416666666666665
호텔패스,199970713367179,2017-11-07,1.625
Kloud beer - 클라우드,1434205946820885,2017-11-06,2.625
Levi's,642806065801639,2017-11-07,1.5
GS수퍼마켓,1478024005848266,2017-11-07,1.125
빈폴아웃도어,1609703045915317,2017-11-07,2.2083333333333335
Chuutalk,929649893788467,2017-11-07,0.125
MARS KOREA,101450446689391,2017-10-25,3.7083333333333335
이자녹스-ISA KNOX,261004373949086,2017-11-01,2.0
NIVEA,117517108326438,2017-11-06,2.7916666666666665
AirAsia,172519482838351,2017-11-07,0.7916666666666666
Mando Footloose,414919308571893,2017-11-07,1.9583333333333333
윙블링,256599011124217,2017-10-14,3.5416666666666665
현대홈쇼핑-Hmall,392423960860599,2017-11-07,0.75
Stephanie McMahon - WWE,141015139413940,2017-11-06,3.0416666666666665
